geo,time,channel,spend_eur,impressions,reach,frequency
Region_01,2021-01-04,TV,9409.047324582833,1210232.8510836954,299207.90162594744,4.044789073106295
Region_01,2021-01-11,TV,8957.388670874538,1275881.5787801535,331610.67328976555,3.847528688153147
Region_01,2021-01-18,TV,8180.132027013346,1045196.5973551759,225411.25876813894,4.636842911339576
Region_01,2021-01-25,TV,8447.912713157502,1013475.1117739818,240853.22723458702,4.207853568791395
Region_01,2021-02-01,TV,7670.471558462161,1070970.6895349515,305273.061030932,3.5082384469766055
Region_01,2021-02-08,TV,8177.9886011781555,1067031.325390758,249440.0103915259,4.27770718785621
Region_01,2021-02-15,TV,7628.136096506792,1111796.9573011438,300336.5533292323,3.7018369724792684
Region_01,2021-02-22,TV,7444.428535150785,947761.687356589,251013.91153183288,3.7757337096290637
Region_01,2021-03-01,TV,7173.379624314679,793333.536380054,192205.95334724506,4.1275180220187755
Region_01,2021-03-08,TV,7827.810059759266,853359.2354660184,224092.96392013205,3.8080590329027926
Region_01,2021-03-15,TV,7273.206880706774,1072345.770062429,245187.66417804945,4.373571458651023
Region_01,2021-03-22,TV,7156.440728864498,1062832.7857204697,287105.48933351063,3.701889462955723
Region_01,2021-03-29,TV,7175.090646497646,880929.1574642089,234294.1800189606,3.759927614902421
Region_01,2021-04-05,TV,7495.802546025145,901750.8014297009,240731.1948104725,3.7458826312046876
Region_01,2021-04-12,TV,7432.557535681314,1075271.1953399673,284461.4368265143,3.7800244818272057
Region_01,2021-04-19,TV,7450.470546349615,833710.6169554342,186731.7030176805,4.464751316901422
Region_01,2021-04-26,TV,7458.097719115522,852472.8998903083,200130.0547949933,4.259594595941892
Region_01,2021-05-03,TV,8125.373039873803,1083160.0895541562,228228.95187804737,4.7459363969429065
Region_01,2021-05-10,TV,7154.5629165912915,859717.2433052177,171321.98973469858,5.018137161706659
Region_01,2021-05-17,TV,7117.9871164583865,889292.7889769597,246461.0255925375,3.6082491616633368
Region_01,2021-05-24,TV,7012.651798615079,862370.8209921285,214079.85316969047,4.0282670612099585
Region_01,2021-05-31,TV,7533.5880607434665,974030.505136119,273901.4289041771,3.55613517254369
Region_01,2021-06-07,TV,7730.621589647026,1112373.384004255,300581.04769784835,3.7007435848797785
Region_01,2021-06-14,TV,7266.045171086284,916520.44850458,244031.73259418085,3.755742905897949
Region_01,2021-06-21,TV,7008.14237901118,934283.8375892763,259615.4280091298,3.598722328460467
Region_01,2021-06-28,TV,7014.8810198945675,714319.456108035,198387.9874650207,3.6006184912480257
Region_01,2021-07-05,TV,7553.285384236888,939572.0596853695,238306.72219878391,3.942700612958891
Region_01,2021-07-12,TV,7590.197364911554,872051.3454956602,246220.08374532312,3.541755539315239
Region_01,2021-07-19,TV,7517.311412902029,831840.7201898937,191164.42534228653,4.351441010535585
Region_01,2021-07-26,TV,7080.823855417221,810692.4551024586,222153.7607080489,3.649240294283644
Region_01,2021-08-02,TV,7414.481208425982,896354.8757318326,169200.6253515932,5.297586069018583
Region_01,2021-08-09,TV,7388.243785919918,1012111.5295935107,264710.85970616475,3.8234605513237283
Region_01,2021-08-16,TV,7456.935925386106,816330.3073735185,202618.10198025915,4.028911037045706
Region_01,2021-08-23,TV,7761.087873800591,973112.2115338166,276922.90833180136,3.5140184587685344
Region_01,2021-08-30,TV,7605.481337870333,905752.4275878659,190921.5237190537,4.744108521366641
Region_01,2021-09-06,TV,7926.904606531289,958921.3391140744,214340.23130940102,4.473828050180031
Region_01,2021-09-13,TV,7893.635145675504,1090777.7760915232,264716.7346998716,4.120547109831255
Region_01,2021-09-20,TV,8259.30068580298,1089490.2466556376,311640.75432901725,3.495981291026524
Region_01,2021-09-27,TV,8748.77770976571,1250085.9005135002,306006.54770544195,4.085160627728846
Region_01,2021-10-04,TV,8230.223790637725,1013004.9348475531,283305.30127252045,3.5756652992282385
Region_01,2021-10-11,TV,9080.39322087417,1058742.3009125022,228676.2131389028,4.629875081364058
Region_01,2021-10-18,TV,9327.362978856523,1140110.1865674253,262871.7727753032,4.337134316593077
Region_01,2021-10-25,TV,9461.995191646669,1211781.2765649313,300067.7914097737,4.0383583685265245
Region_01,2021-11-01,TV,9713.619761271324,1235832.4529108794,394194.04108840704,3.1350865921225726
